pub_date	title	venue	excerpt	citation	url_slug	paper_url			
2022/7/24	Extracting Weighted Finite Automata from Recurrent Neural Networks for Natural Languages	23rd International Conference on Formal Engineering Methods		"Zeming Wei, Xiyue Zhang, and Meng Sun. ""Extracting Weighted Finite Automata from Recurrent Neural Networks for Natural Languages."" <i>23rd International Conference on Formal Engineering Methods</i>. ICFEM 2022."	22wzs	https://arxiv.org/abs/2206.14621			
									
									
